

 ********* STATS AS OF 10/03/2024***********


 **** Most ODI Runs (minm 10 centuries) ****
              Player Name     Total Runs  No of ODIs   Innings  No of 100s   No of 50s    Batting Avg   Hit-to-fence(4) Over-the-fence(6)   Bat Strike Rate  Profile-ID
        Sachin Tendulkar           18426         463       452          49          96          44.83              2016               195             86.24          25
        Kumar Sangakkara           14234         404       380          25          93          41.99              1385                88             78.86         104
             Virat Kohli           13906         295       283          50          72          58.18              1302               152             93.54        1413
           Ricky Ponting           13704         375       365          30          82          42.04              1231               162             80.39          38
       Sanath Jayasuriya           13430         445       433          28          68          32.13              1500               270             91.22         102
      Mahela Jayawardene           12650         448       418          19          77          33.38              1119                76             78.97         101
          Inzamam-ul-Haq           11739         378       350          10          83          39.53               971               144             74.24          35
          Jacques Kallis           11579         328       314          17          86          44.36               911               137             72.89         213
          Sourav Ganguly           11363         311       300          22          72          40.73              1122               190             73.71          29
            Rahul Dravid           10889         344       318          12          83          39.17               950                42             71.24          27
            Rohit Sharma           10866         265       257          31          57          49.17              1011               331             92.44         576
                MS Dhoni           10773         350       297          10          73          50.58               826               229             87.56         265
             Chris Gayle           10480         301       294          25          54           37.7              1128               331              87.2         247
              Brian Lara           10405         299       289          19          63          40.17              1035               133             79.51         240
    Tillakaratne Dilshan           10290         330       303          22          47          39.27              1111                56             86.23         105
         Mohammad Yousuf            9720         288       273          15          64          41.72               785                90              75.1          34
          Adam Gilchrist            9619         287       279          16          55          35.89              1162               149             96.95          36
           AB de Villiers           9577         228       218          25          53           53.5               840               204             101.1         370
        Aravinda de Silva           9284         308       296          11          64           34.9               712               102             81.13        3531
             Saeed Anwar            8824         247       244          20          43          39.22               938                97             80.67        3703
            Yuvraj Singh            8701         304       278          14          52          36.56               908               155             87.68          69
          Desmond Haynes            8648         238       237          17          57          41.38               768                53             63.09        4174
             Ross Taylor            8602         236       220          21          51          47.52               712               147             83.26         521
         Marvan Atapattu            8529         268       259          11          59          37.57               734                15             67.72         100
              Mark Waugh            8500         244       236          18          50          39.35               651                57              76.9        4727
             Tamim Iqbal            8357         243       240          14          56          36.65               925               103             78.53         612
         Virender Sehwag            8273         251       245          15          38          35.06              1132               136            104.34          26
             Hashim Amla            8113         181       178          27          39          49.47               823                53             88.39         314
        Herschelle Gibbs            8094         248       240          21          37          35.81               930               128             83.26         212
             Eoin Morgan            7701         248       230          14          47          39.09               654               220             91.17         624
          Martin Guptill            7346         198       195          18          39           41.5               751               187             87.31        1457
            Nathan Astle            7090         223       217          16          41          34.93               720                86             72.64          50
            Graeme Smith            6989         197       194          10          47          37.78               789                44             80.82         207
           Upul Tharanga            6951         235       223          15          37          33.74               799                52             75.93         414
            David Warner            6932         161       159          22          33          45.01               733               130             97.26        1739
         Kane Williamson            6811         165       157          13          45           48.3               624                55             81.39        6326
            Gary Kirsten            6798         185       185          13          45          40.71               659                20             72.04        4601
          Shikhar Dhawan            6793         167       164          17          39          44.11               842                79             91.35        1446
          Quinton de Kock           6770         155       155          21          30          45.74               771               118             96.65        8520
         Sir Viv Richards           6721         187       167          11          45           47.0               600               126              90.2        4163
          Brendan Taylor            6684         205       203          11          39          35.55               599               106             76.63         180
         Mohammad Hafeez            6614         218       216          11          38          32.91               664               110              76.6         360
                Joe Root            6522         171       160          16          39          47.61               520                49             86.77        8019
          Matthew Hayden            6133         161       155          10          36          43.81               636                87             78.96         157
              Babar Azam            5729         117       114          19          32          56.72               520                60             88.75        8359
           Paul Stirling            5702         161       155          14          29          37.51               613               138             87.23        1114
          Marlon Samuels            5606         207       196          10          30          32.98               526               118             75.12         356
            Steven Smith            5583         163       147          12          34          43.62               497                55             87.23        2250
           Faf du Plessis           5507         143       136          12          35          46.67               495                66             88.57        7825
             Aaron Finch            5406         146       142          17          30          38.89               533               129             87.72        1643
          Gautam Gambhir            5238         147       143          11          34          39.68               561                17             85.25         308
               Shai Hope            5177         124       119          16          25          49.78               414                92             77.58       10384
     Sir Gordon Greenidge           5134         128       127          11          31          45.04               470                81             64.92        4165
             Jos Buttler            5022         181       154          11          26          39.54               407               170            117.09        2258
     William Porterfield            4343         147       145          11          20          30.58               455                32             68.97         625
      Marcus Trescothick            4335         123       122          12          21          37.37               528                41             85.22          44
               Jason Roy            4271         116       110          12          21          39.92               511                81            105.53        6534
          Jonny Bairstow            3868         107        98          11          17          42.98               437                92            102.93        6507
            Fakhar Zaman            3492          82        81          11          16          46.56               390                74             93.44       10863


 **** Most ODI Wickets (minm 100 wkts) ****
              Player Name     Total Wkts  No of ODIs   Innings   Best-Bowling    Bowling avg   Bowl Economy  5-Wkt Haul  Profile-ID
    Muttiah Muralitharan             534         350       341           7/30          23.08           3.93             10         110
             Wasim Akram             502         356       351           5/15          23.53            3.9              6        3688
            Waqar Younis             416         262       258           7/36          23.84           4.69             13        3706
           Chaminda Vaas             400         322       320           8/19          27.54           4.19              4         108
           Shahid Afridi             395         398       372           7/12          34.51           4.63              9         142
           Shaun Pollock             393         303       297           6/35          24.51           3.68              5         218
           Glenn McGrath             381         250       248           7/15          22.02           3.88              7          41
               Brett Lee             380         221       217           5/22          23.36           4.76              9          42
          Lasith Malinga             338         226       220           6/38          28.87           5.35              8         111
             Anil Kumble             337         271       265           6/12           30.9           4.31              2          98
       Sanath Jayasuriya             323         445       368           6/29          36.75           4.79              4         102
          Shakib Al Hasan            317         247       241           5/29          29.53           4.47              4         544
         Javagal Srinath             315         229       227           5/23          28.09           4.45              3        3894
             Shane Warne             293         194       191           5/33          25.74           4.25              1         135
            Ajit Agarkar             288         191       188           6/42          27.85           5.07              2         146
         Saqlain Mushtaq             288         169       165           5/20          21.79           4.29              6        3738
             Zaheer Khan             282         200       197           5/42          29.44           4.93              1          71
          Jacques Kallis             273         328       283           5/30          31.79           4.84              2         213
            Allan Donald             272         164       162           6/23          21.79           4.15              2        4582
        Mashrafe Mortaza             270         220       220           6/26          32.95           4.88              1         323
            Abdul Razzaq             269         265       254           6/35          31.84            4.7              3          78
         Harbhajan Singh             269         236       227           5/31          33.36           4.31              3          75
          James Anderson             269         194       191           5/23          29.22           4.92              2          65
           Makhaya Ntini             266         173       171           6/22          24.66      4.5299997              4         216
               Kapil Dev             253         225       221           5/43          27.45           3.72              1        3838
           Shoaib Akhtar             247         163       162           6/16          24.98           4.77              4          30
          Mitchell Starc             241         125       125           6/28          23.45           5.27              9        7710
              Kyle Mills             240         170       169           5/25          27.02           4.73              1         202
            Heath Streak             239         189       185           5/32          29.83           4.52              1        3420
        Mitchell Johnson             239         153       150           6/31          25.26           4.84              3         496
            Darren Gough             235         159       156           5/44          26.42            4.4              2          63
       Sir Curtly Ambrose            225         176       175           5/17          24.13           3.48              4        4202
             Tim Southee             221         161       159           7/33           33.7      5.5299997              3        1057
         Ravindra Jadeja             220         197       189           5/33          36.07           4.88              2         587
             Trent Boult             211         114       113           7/34          24.39            5.0              6        8117
            Abdur Razzak             207         153       152           5/29           29.3           4.57              4         127
            Chris Harris             203         250       232           5/42           37.5           4.28              1        4062
         Craig McDermott             203         138       138           5/44          24.72           4.04              1        4704
             Adil Rashid             202         140       134           5/27          32.48           5.61              2        1742
            Chris Cairns             201         215       186           5/42          32.81           4.84              1          52
            Dwayne Bravo             199         164       150           6/43          29.52           5.41              1         242
              Dale Steyn             196         125       124           6/39          25.96           4.88              3         508
        Venkatesh Prasad             196         161       160           5/27          32.31           4.67              1        2140
             Steve Waugh             195         325       207           4/33          34.67           4.57              0        4712
          Mohammed Shami             195         101       100           7/57          23.68           5.56              5        7909
             Carl Hooper             193         227       203           4/34          36.05           4.36              0        4199
          Lance Klusener             192         171       164           6/49          29.95            4.7              6        4606
             Rashid Khan             190         105       100           7/18          19.98           4.21              5       10738
            Morne Morkel             188         117       114           5/21          25.32           4.96              2         608
        Dilhara Fernando             187         147       141           6/27           30.2           5.21              1         222
             Saeed Ajmal             184         113       112           5/24          22.72           4.18              2        1053
              Imran Khan             182         175       153           6/14          26.62            3.9              1        3647
             Aaqib Javed             182         163       159           7/37          31.43           4.28              4        3702
                Umar Gul             179         130       128           6/42          29.36            5.2              2         504
            Stuart Broad             178         121       121           5/23          30.13           5.27              1         554
              Adam Zampa             177         103       103           5/35           28.1           5.51              1        8642
          Thisara Perera             175         166       157           6/44           32.8           5.84              4        2281
          Nathan Bracken             174         116       116           5/47          24.37           4.42              2         444
              Jacob Oram             173         160       154           5/26          29.18           4.38              2          59
            Irfan Pathan             173         120       118           5/27          29.73           5.27              2          73
            Chris Woakes             173         122       118           6/45          30.02           5.43              3        6670
             Imran Tahir             173         107       104           7/45          24.84           4.65              3        6667
           Kuldeep Yadav             172         106       103           6/25           26.0            5.0              2        8292
           Mohammad Nabi             170         164       158           5/17          32.21           4.27              1        3007
         Andrew Flintoff             169         141       119           5/19          24.38            4.4              2          61
            Shane Watson             168         190       163           4/36           31.8           4.96              0         158
             Chris Gayle             167         301       199           5/46          35.49           4.79              1         247
       Mustafizur Rahman             164         104       103           6/43          26.26           5.17              5        9863
           Mushtaq Ahmed             161         144       142           5/36           33.3           4.26              1        3704
            Jason Holder             159         138       134           5/27          36.97           5.51              2        8313
       Sir Richard Hadlee            158         115       112           5/25          21.56           3.34              5        3997
